label,logit,pred,code_prefix
0.0,0.009844533,0,E2
1.0,0.6484742,1,E2
0.0,0.004733825,0,E2
1.0,0.9986959,1,E2
1.0,0.7247773,1,E2
1.0,0.9310918,1,E2
0.0,0.007419307,0,E2
0.0,0.022738097,0,E2
1.0,0.9956868,1,E2
0.0,0.0024732936,0,E2
0.0,0.0037810367,0,E2
0.0,0.0034927826,0,E2
1.0,0.1853746,0,E2
0.0,0.29260513,0,E2
0.0,0.7069923,1,E2
0.0,0.0055037485,0,E2
0.0,0.6715107,1,E2
1.0,0.83213985,1,E2
1.0,0.7083767,1,E2
0.0,0.051277727,0,E2
0.0,0.09912759,0,E2
0.0,0.00519322,0,E2
1.0,0.8903477,1,E2
1.0,0.99849296,1,E2
1.0,0.028493421,0,E2
1.0,0.9840514,1,E2
0.0,0.024120735,0,E2
0.0,0.058376025,0,E2
0.0,0.13858545,0,E2
1.0,0.9958852,1,E2
0.0,0.099132866,0,E2
1.0,0.9795067,1,E2
1.0,0.99542964,1,E2
0.0,0.009380907,0,E2
1.0,0.041363463,0,E2
0.0,0.1154664,0,E2
0.0,0.73312384,1,E2
0.0,0.016386392,0,E2
1.0,0.98682517,1,E2
0.0,0.01312657,0,E2
0.0,0.001945855,0,E2
1.0,0.985103,1,E2
0.0,0.014380848,0,E2
0.0,0.18418132,0,E2
1.0,0.7220824,1,E2
1.0,0.99336666,1,E2
0.0,0.007637261,0,E2
0.0,0.020886537,0,E2
1.0,0.91330034,1,E2
0.0,0.008711931,0,E2
1.0,0.9723901,1,E2
0.0,0.78241855,1,E2
0.0,0.09328354,0,E2
1.0,0.980433,1,E2
0.0,0.012681764,0,E2
1.0,0.9985526,1,E2
1.0,0.9956762,1,E2
1.0,0.7927335,1,E2
1.0,0.9220141,1,E2
1.0,0.9948436,1,E2
1.0,0.98191375,1,E2
0.0,0.0031860573,0,E2
0.0,0.049641926,0,E2
1.0,0.53748894,1,E2
1.0,0.99731594,1,E2
0.0,0.044684798,0,E2
1.0,0.99424523,1,E2
1.0,0.9212486,1,E2
1.0,0.9927873,1,E2
1.0,0.99258053,1,E2
0.0,0.106735885,0,E2
1.0,0.9759888,1,E2
0.0,0.010773422,0,E2
1.0,0.074955694,0,E2
1.0,0.9975938,1,E2
0.0,0.0056303265,0,E2
0.0,0.026135547,0,E2
0.0,0.006308354,0,E2
0.0,0.93566245,1,E2
0.0,0.0149212,0,E2
0.0,0.015607388,0,E2
0.0,0.009782824,0,E2
1.0,0.94831485,1,E2
1.0,0.9944376,1,E2
1.0,0.9980167,1,E2
1.0,0.9971609,1,E2
1.0,0.70513797,1,E2
0.0,0.005756558,0,E2
0.0,0.124717385,0,E2
0.0,0.84179574,1,E2
1.0,0.989268,1,E2
0.0,0.010551624,0,E2
0.0,0.0046850634,0,E2
0.0,0.0059274156,0,E2
0.0,0.008172114,0,E2
0.0,0.024712747,0,E2
1.0,0.9957913,1,E2
0.0,0.054930605,0,E2
0.0,0.15562652,0,E2
1.0,0.8949355,1,E2
1.0,0.18227683,0,E2
1.0,0.99236166,1,E2
0.0,0.38608116,0,E2
0.0,0.0035267235,0,E2
0.0,0.09957367,0,E2
1.0,0.9715798,1,E2
0.0,0.010412253,0,E2
1.0,0.8150883,1,E2
1.0,0.027188208,0,E2
0.0,0.012919823,0,E2
1.0,0.99849534,1,E2
1.0,0.99838996,1,E2
1.0,0.9975694,1,E2
0.0,0.0016846249,0,E2
0.0,0.59584165,1,E2
0.0,0.0034987757,0,E2
1.0,0.9905759,1,E2
0.0,0.0066511673,0,E2
0.0,0.018956227,0,E2
0.0,0.046586346,0,E2
0.0,0.17638274,0,E2
0.0,0.0070808623,0,E2
1.0,0.94749737,1,E2
0.0,0.055434,0,E2
0.0,0.008648821,0,E2
1.0,0.995776,1,E2
0.0,0.002652947,0,E2
0.0,0.022478407,0,E2
0.0,0.003622532,0,E2
0.0,0.018322904,0,E2
1.0,0.9987036,1,E2
0.0,0.011095278,0,E2
1.0,0.9980697,1,E2
1.0,0.9847703,1,E2
0.0,0.12000538,0,E2
0.0,0.42875087,0,E2
1.0,0.99745446,1,E2
1.0,0.9963781,1,E2
0.0,0.20492977,0,E2
0.0,0.009412518,0,E2
0.0,0.019092454,0,E2
1.0,0.92834204,1,E2
0.0,0.05673719,0,E2
0.0,0.021392534,0,E2
0.0,0.35805884,0,E2
0.0,0.15293826,0,E2
0.0,0.0025745803,0,E2
1.0,0.9872404,1,E2
0.0,0.010176846,0,E2
1.0,0.9933082,1,E2
1.0,0.87327707,1,E2
0.0,0.12044971,0,E2
1.0,0.9946408,1,E2
0.0,0.009052154,0,E2
1.0,0.9232623,1,E2
0.0,0.08896926,0,E2
0.0,0.0035630795,0,E2
0.0,0.990923,1,E2
1.0,0.9675066,1,E2
0.0,0.5268276,1,E2
1.0,0.026240163,0,E2
0.0,0.013313141,0,E2
1.0,0.8486907,1,E2
0.0,0.92685944,1,E2
0.0,0.22381076,0,E2
1.0,0.94235855,1,E2
1.0,0.96737033,1,E2
0.0,0.087176226,0,E2
1.0,0.9984365,1,E2
1.0,0.9951769,1,E2
0.0,0.010298983,0,E2
0.0,0.010951383,0,E2
1.0,0.9296512,1,E2
1.0,0.9663418,1,E2
0.0,0.8992322,1,E2
0.0,0.006059394,0,E2
0.0,0.0070914878,0,E2
0.0,0.022863438,0,E2
1.0,0.22504649,0,E2
0.0,0.04938635,0,E2
0.0,0.007396199,0,E2
1.0,0.99790716,1,E2
1.0,0.9404779,1,E2
1.0,0.96925867,1,E2
1.0,0.9981573,1,E2
1.0,0.835991,1,E2
1.0,0.99489343,1,E2
0.0,0.0059654415,0,E2
1.0,0.8972722,1,E2
1.0,0.9959383,1,E2
0.0,0.04663239,0,E2
0.0,0.020031812,0,E2
0.0,0.016822943,0,E2
0.0,0.0030663395,0,E2
1.0,0.091230184,0,E2
0.0,0.0025183272,0,E2
1.0,0.9981287,1,E2
0.0,0.02452905,0,E2
0.0,0.010433628,0,E2
1.0,0.708719,1,E2
1.0,0.93910235,1,E2
0.0,0.007010156,0,E2
1.0,0.9978393,1,E2
0.0,0.0030850866,0,E2
0.0,0.06041078,0,E2
1.0,0.99388134,1,E2
1.0,0.99628866,1,E2
0.0,0.060125005,0,E2
0.0,0.019232465,0,E2
1.0,0.99800175,1,E2
1.0,0.9983771,1,E2
0.0,0.1104484,0,E2
1.0,0.8740945,1,E2
0.0,0.0020370279,0,E2
