epoch,protein,loss,acc,auc,precision,recall,f1,num_samples,split
0,ALL,,0.6695237278934888,0.7460702914955295,0.6658010108625841,0.6810534434002685,0.6733408641626659,70002,train
0,A4,,0.619757174392936,0.6751830273805229,0.6238374938815467,0.602980602428639,0.6132317562149158,50736,train
0,E2,,0.8005813349942904,0.8953414233562975,0.7568835768038955,0.8863659927423535,0.816523400191022,19266,train
0,ALL,,0.7498273480662984,0.8429646850437285,0.7791279485346676,0.724011956160744,0.7505594766741264,5792,val
0,A4,,0.6821872015281757,0.7568900033945689,0.7217659137577002,0.6405466970387244,0.6787352160270336,4188,val
0,E2,,0.92643391521197,0.9698977306658704,0.9105882352941177,0.9485294117647058,0.929171668667467,1604,val
1,ALL,,0.7728779177737779,0.8657711522962626,0.7688368690563278,0.7805421463052358,0.7746452920582274,70002,train
1,A4,,0.711723431094292,0.7897827581540005,0.7093014189926712,0.7173553067339536,0.713305629606398,50736,train
1,E2,,0.9339250493096647,0.9777110604939115,0.9232558139534883,0.9467081389320892,0.9348349116969542,19266,train
1,ALL,,0.7765883977900553,0.8637709914420229,0.7702234812716399,0.8126868150116241,0.790885585003232,5792,val
1,A4,,0.7170487106017192,0.7863867499802841,0.7158119658119658,0.7630979498861048,0.7386990077177509,4188,val
1,E2,,0.9320448877805486,0.9791184557579378,0.9223416965352449,0.946078431372549,0.9340592861464004,1604,val
2,ALL,,0.8160623982171938,0.9060238889039034,0.8128339222614841,0.8213316575737667,0.8170606956126393,70002,train
2,A4,,0.7613331756543678,0.8452959724323359,0.7588159487640098,0.7660857908847185,0.7624335406407565,50736,train
2,E2,,0.9601889338731444,0.9910376197221507,0.9544430794430795,0.9666148263348885,0.9604903930355947,19266,train
2,ALL,,0.7734806629834254,0.8634685525003549,0.7795327410332347,0.7867818000664231,0.7831404958677686,5792,val
2,A4,,0.7125119388729704,0.785993917206807,0.7265660722450846,0.7239179954441913,0.7252396166134185,4188,val
2,E2,,0.9326683291770573,0.9785710286652732,0.9154929577464789,0.9558823529411765,0.935251798561151,1604,val
3,ALL,,0.854247021513671,0.9377288873916754,0.8508628005657709,0.8591505041560742,0.8549865688824457,70002,train
3,A4,,0.8077302112898139,0.8938286220919176,0.8046371833404895,0.812726699258792,0.8086617107663339,50736,train
3,E2,,0.9767466002283816,0.9962038124116025,0.972561915527695,0.9812337998963193,0.976878612716763,19266,train
3,ALL,,0.7771063535911602,0.8689195591234394,0.7610807528840315,0.8326137495848556,0.7952418715305313,5792,val
3,A4,,0.7199140401146131,0.7989736286570193,0.7090834697217676,0.7895216400911161,0.7471437809872817,4188,val
3,E2,,0.92643391521197,0.9750298596595999,0.9105882352941177,0.9485294117647058,0.929171668667467,1604,val
4,ALL,,0.8900317133796177,0.9623282364490836,0.8888793962694005,0.8915707389528407,0.8902230334835435,70002,train
4,A4,,0.8536345001576789,0.9343455014677295,0.8526104733448655,0.8550307522472796,0.8538188976377953,50736,train
4,E2,,0.9858818644243745,0.998479296385364,0.9841925818782932,0.9876620010368067,0.9859242392879322,19266,train
4,ALL,,0.7753798342541437,0.8672613697038702,0.7781392322706572,0.7944204583194951,0.7861955628594905,5792,val
4,A4,,0.7191977077363897,0.7976782062960681,0.7247463608292898,0.7485193621867882,0.7364410578216046,4188,val
4,E2,,0.922069825436409,0.9745150915696227,0.9281288723667905,0.9178921568627451,0.9229821318545902,1604,val
5,ALL,,0.9206736950372847,0.9785474855710217,0.9192189456905385,0.9224485132394528,0.9208308977630772,70002,train
5,A4,,0.893665247555976,0.9621745032248483,0.8920563866965092,0.8956789149976344,0.8938639806417343,50736,train
5,E2,,0.9917990241876882,0.9992467714562318,0.9907915157785825,0.9928460342146189,0.9918177110305542,19266,train
5,ALL,,0.7715814917127072,0.8666269346090584,0.7479435957696827,0.845566257057456,0.7937646141855027,5792,val
5,A4,,0.7129894937917861,0.7978005022133274,0.6925164792555254,0.8136674259681094,0.7482195224130708,4188,val
5,E2,,0.9245635910224439,0.9730065566835872,0.9212121212121213,0.9313725490196079,0.9262644728823888,1604,val
6,ALL,,0.9382160509699723,0.9864854776858345,0.936646174863388,0.9400439886886229,0.9383420058450352,70002,train
6,A4,,0.9169820245979187,0.9761432637440829,0.9152988298122987,0.9189796562056458,0.9171355498721228,50736,train
6,E2,,0.9941347451468909,0.9995004339964164,0.9928645294725956,0.9954380508035251,0.994149624644059,19266,train
6,ALL,,0.7774516574585635,0.866679062782025,0.7610673135233474,0.8336100963135171,0.795688698684419,5792,val
6,A4,,0.7199140401146131,0.79760094270722,0.7057165861513688,0.798633257403189,0.7493054071382774,4188,val
6,E2,,0.9276807980049875,0.9728051595003483,0.9299754299754299,0.9276960784313726,0.9288343558282208,1604,val
7,ALL,,0.9464015313848175,0.9894857096636106,0.9452690959856406,0.9476991630723528,0.9464825697495293,70002,train
7,A4,,0.9279210028382214,0.9814126326985259,0.9267822736030829,0.9292304052988488,0.9280047248744955,50736,train
7,E2,,0.995069033530572,0.9995714780432405,0.9938973934629707,0.9962674961119751,0.9950810335007508,19266,train
7,ALL,,0.7760704419889503,0.8664569955709562,0.7576668671076368,0.8369312520757224,0.7953290200410289,5792,val
7,A4,,0.7182425978987583,0.7976060859934601,0.702110712863401,0.8031890660592255,0.7492562685932852,4188,val
7,E2,,0.9270573566084788,0.972616981437245,0.9288343558282208,0.9276960784313726,0.9282648681790313,1604,val
